Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Nov-01 00:15:00.000,2023-Nov-01 05:15:00.000,275.625,0,23456.66602,0,0,0,156.670578
2023-Nov-01 00:30:00.000,2023-Nov-01 05:30:00.000,271.0073853,0,23471.66211,0,0,0,157.0158386
2023-Nov-01 00:45:00.000,2023-Nov-01 05:45:00.000,266.2998047,0,23494.05469,0,0,0,157.9075165
2023-Nov-01 01:00:00.000,2023-Nov-01 06:00:00.000,264.9927063,0,23507.05469,0,0,0,156.9189301
2023-Nov-01 01:15:00.000,2023-Nov-01 06:15:00.000,264.9838562,0,23518.38281,0,0,0,156.734375
2023-Nov-01 01:30:00.000,2023-Nov-01 06:30:00.000,260.0799561,0,23277.07617,0,0,0,158.773468
2023-Nov-01 01:45:00.000,2023-Nov-01 06:45:00.000,258.0397034,0,23244.19727,0,0,0,157.225174
2023-Nov-01 02:00:00.000,2023-Nov-01 07:00:00.000,263.2721558,0,23252.60156,0,0,0,151.581955
2023-Nov-01 02:15:00.000,2023-Nov-01 07:15:00.000,262.4861755,0,23280.86719,0,0,0,152.1636353
2023-Nov-01 02:30:00.000,2023-Nov-01 07:30:00.000,259.887146,0,23284.37305,0,0,0,151.7189636
2023-Nov-01 02:45:00.000,2023-Nov-01 07:45:00.000,253.4316711,0,23292.85547,0,0,0,157.8875427
2023-Nov-01 03:00:00.000,2023-Nov-01 08:00:00.000,253.5294647,0,23311.19727,0,0,0,158.8055725
2023-Nov-01 03:15:00.000,2023-Nov-01 08:15:00.000,251.5704498,0,23313.64258,0,0,0,160.9867096
2023-Nov-01 03:30:00.000,2023-Nov-01 08:30:00.000,252.8611755,0,23258.95703,0,0,0,160.7345428
2023-Nov-01 03:45:00.000,2023-Nov-01 08:45:00.000,253.8611755,0,23251.42578,0,0,0,161.4416962
2023-Nov-01 04:00:00.000,2023-Nov-01 09:00:00.000,254.5604095,0,23256.88086,0,0,0,161.8063354
2023-Nov-01 04:15:00.000,2023-Nov-01 09:15:00.000,257.9417725,0,23224.10742,0,0,0,159.6950989
2023-Nov-01 04:30:00.000,2023-Nov-01 09:30:00.000,268.6872253,0,23213.9707,0,0,0,152.1811829
2023-Nov-01 04:45:00.000,2023-Nov-01 09:45:00.000,273.6280823,0,23215.93164,0,0,0,151.3033905
2023-Nov-01 05:00:00.000,2023-Nov-01 10:00:00.000,278.552887,0,23225.01367,0,0,0,155.2427063
2023-Nov-01 05:15:00.000,2023-Nov-01 10:15:00.000,275.716156,0,23246.34375,0,0,0,157.4784698
2023-Nov-01 05:30:00.000,2023-Nov-01 10:30:00.000,261.421875,0,23330.5957,0,0,0,143.2952423
2023-Nov-01 05:45:00.000,2023-Nov-01 10:45:00.000,249.7677307,0,23372.625,0,0,0,139.4811859
2023-Nov-01 06:00:00.000,2023-Nov-01 11:00:00.000,271.1547241,0,23396.92188,0,0,0,127.3488617
2023-Nov-01 06:15:00.000,2023-Nov-01 11:15:00.000,265.6462097,0,23357.02148,0,0,0,130.5625153
2023-Nov-01 06:30:00.000,2023-Nov-01 11:30:00.000,283.1747742,0,23232.77344,0,0,0,127.1112671
2023-Nov-01 06:45:00.000,2023-Nov-01 11:45:00.000,285.9623413,0,23257.11523,0,0,0,124.5605316
2023-Nov-01 07:00:00.000,2023-Nov-01 12:00:00.000,286.2227478,0,23272.09961,0,0,0,122.474823
2023-Nov-01 07:15:00.000,2023-Nov-01 12:15:00.000,287.3077698,0,23268.74219,0,0,0,123.4833679
2023-Nov-01 07:30:00.000,2023-Nov-01 12:30:00.000,289.4741516,0,23253.05078,0,0,0,119.1608658
2023-Nov-01 07:45:00.000,2023-Nov-01 12:45:00.000,297.7887573,0,23209.27148,0,0,0,117.478447
2023-Nov-01 08:00:00.000,2023-Nov-01 13:00:00.000,289.4148865,0,23154.79102,0,0,0,117.0788116
2023-Nov-01 08:15:00.000,2023-Nov-01 13:15:00.000,264.9916992,0,23102.12305,0,0,0,125.8909302
2023-Nov-01 08:30:00.000,2023-Nov-01 13:30:00.000,276.706665,0,23199.94922,0,0,0,122.3388596
2023-Nov-01 08:45:00.000,2023-Nov-01 13:45:00.000,288.9064941,0,23206.25195,0,0,0,118.1659775
2023-Nov-01 09:00:00.000,2023-Nov-01 14:00:00.000,278.887146,0,23171.35547,0,0,0,128.1040802
2023-Nov-01 09:15:00.000,2023-Nov-01 14:15:00.000,279.3692017,0,23126.04688,0,0,0,125.5131073
2023-Nov-01 09:30:00.000,2023-Nov-01 14:30:00.000,274.8156738,0,23126.36133,0,0,0,123.5594711
2023-Nov-01 09:45:00.000,2023-Nov-01 14:45:00.000,278.6051025,0,23101.14063,0,0,0,120.622757
2023-Nov-01 10:00:00.000,2023-Nov-01 15:00:00.000,281.5501099,0,23120.88086,0,0,0,108.5187073
2023-Nov-01 10:15:00.000,2023-Nov-01 15:15:00.000,279.0722961,0,23163.85547,0,0,0,111.3188171
2023-Nov-01 10:30:00.000,2023-Nov-01 15:30:00.000,268.0428162,0,23188.125,0,0,0,125.332901
2023-Nov-01 10:45:00.000,2023-Nov-01 15:45:00.000,254.3530426,0,23177.24219,0,0,0,133.6295319
2023-Nov-01 11:00:00.000,2023-Nov-01 16:00:00.000,267.7408447,0,23187.49609,0,0,0,129.7502136
2023-Nov-01 11:15:00.000,2023-Nov-01 16:15:00.000,275.452179,0,23150.51758,0,0,0,126.7354279
2023-Nov-01 11:30:00.000,2023-Nov-01 16:30:00.000,271.9059143,0,23169.98828,0,0,0,126.8485947
2023-Nov-01 11:45:00.000,2023-Nov-01 16:45:00.000,273.9632263,0,23185.67969,0,0,0,127.9756699
2023-Nov-01 12:00:00.000,2023-Nov-01 17:00:00.000,264.9715271,0,23225.0957,0,0,0,133.822403
2023-Nov-01 12:15:00.000,2023-Nov-01 17:15:00.000,259.4641418,0,23258.8418,0,0,0,136.5662537
2023-Nov-01 12:30:00.000,2023-Nov-01 17:30:00.000,274.9476013,0,23263.94141,0,0,0,125.0409546
2023-Nov-01 12:45:00.000,2023-Nov-01 17:45:00.000,279.3053589,0,23262.90625,0,0,0,123.5240784
2023-Nov-01 13:00:00.000,2023-Nov-01 18:00:00.000,271.5794678,0,23292.16797,0,0,0,125.8044434
2023-Nov-01 13:15:00.000,2023-Nov-01 18:15:00.000,266.7030334,0,23343.61523,0,0,0,128.6293793
2023-Nov-01 13:30:00.000,2023-Nov-01 18:30:00.000,255.1067505,0,23344.38867,0,0,0,136.2946167
2023-Nov-01 13:45:00.000,2023-Nov-01 18:45:00.000,252.7936859,0,23370.16406,0,0,0,137.6188049
