Local Time,Timestamp,kWh del int,kWh rec int,Vll avg mean,kVARh Q1 int,kVARh Q2 int,kVARh Q3 int,kVARh Q4 int
2023-Nov-01 00:15:00.000,2023-Nov-01 05:15:00.000,8532.899414,0,137792.4219,0,0,0,1661.53479
2023-Nov-01 00:30:00.000,2023-Nov-01 05:30:00.000,8424.516602,0,137875.2813,0,0,0,1687.926147
2023-Nov-01 00:45:00.000,2023-Nov-01 05:45:00.000,8334.792969,0,137992.0781,0,0,0,1700.611938
2023-Nov-01 01:00:00.000,2023-Nov-01 06:00:00.000,8273.772461,0,138071.5156,0,0,0,1720.317139
2023-Nov-01 01:15:00.000,2023-Nov-01 06:15:00.000,8117.905273,0,138124.9219,0,0,0,1774.943359
2023-Nov-01 01:30:00.000,2023-Nov-01 06:30:00.000,7830.701172,0,136639.9844,0,0,0,2219.157471
2023-Nov-01 01:45:00.000,2023-Nov-01 06:45:00.000,7799.928711,0,136446.5,0,0,0,2090.561035
2023-Nov-01 02:00:00.000,2023-Nov-01 07:00:00.000,7636.820313,0,136532.5156,0,0,0,2177.459961
2023-Nov-01 02:15:00.000,2023-Nov-01 07:15:00.000,7646.03125,0,136669.0781,0,0,0,2174.635254
2023-Nov-01 02:30:00.000,2023-Nov-01 07:30:00.000,7611.170898,0,136694.1094,0,0,0,2154.397217
2023-Nov-01 02:45:00.000,2023-Nov-01 07:45:00.000,7504.457031,0,136731.6563,0,0,0,2142.828369
2023-Nov-01 03:00:00.000,2023-Nov-01 08:00:00.000,7482.642578,0,136816.9844,0,0,0,2142.375732
2023-Nov-01 03:15:00.000,2023-Nov-01 08:15:00.000,7448.272949,0,136867.3906,0,0,0,2143.352539
2023-Nov-01 03:30:00.000,2023-Nov-01 08:30:00.000,7672.980469,0,136595.125,0,0,0,1995.156128
2023-Nov-01 03:45:00.000,2023-Nov-01 08:45:00.000,7735.008789,0,136540.2188,0,0,0,1983.592896
2023-Nov-01 04:00:00.000,2023-Nov-01 09:00:00.000,7832.880371,0,136548.5625,0,0,0,1935.700806
2023-Nov-01 04:15:00.000,2023-Nov-01 09:15:00.000,7853.720703,0,136387.625,0,0,0,1966.103149
2023-Nov-01 04:30:00.000,2023-Nov-01 09:30:00.000,7884.272949,0,136370.9063,0,0,0,1940.103516
2023-Nov-01 04:45:00.000,2023-Nov-01 09:45:00.000,7867.064941,0,136404.1406,0,0,0,1930.632568
2023-Nov-01 05:00:00.000,2023-Nov-01 10:00:00.000,7862.654785,0,136452.4375,0,0,0,1913.919067
2023-Nov-01 05:15:00.000,2023-Nov-01 10:15:00.000,7733.226074,0,136598.4531,0,0,0,1916.952393
2023-Nov-01 05:30:00.000,2023-Nov-01 10:30:00.000,7248.830566,0,137120.1719,0,0,0,2016.928101
2023-Nov-01 05:45:00.000,2023-Nov-01 10:45:00.000,7230.458984,0,137341.0156,0,0,0,2004.558838
